prompt,image,quadrant,bbox,skin color,gender.Woman,gender.Man,model,gender_detected_cat,gender_detected_val,rgb_intensity,tag,compound,tda,tda_compound,tda_sentiment_cat,tda_sentiment_val
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,0,"[55, 14, 200, 208]","(224.5, 215.7, 205.5)",0.9655172413793105,0.034482758620689655,midjourney,3,woman,216.83443999999997,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,1,,,,,midjourney,1,no face,,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,2,"[334, 42, 433, 179]","(159.725, 131.0, 119.95)",0.9655172413793105,0.034482758620689655,midjourney,3,woman,136.309125,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,alocasia_a_abrupt_person_photorealistic_e2a54c8d-bf74-4993-a69f-16846f962592,3,"[341, 316, 387, 382]","(222.325, 211.25, 178.25)",0.5,0.5,midjourney,2,unknown,211.22194499999998,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,HerculePoirot_a_abrupt_person_photorealistic_4317b677-fe07-4885-a4d5-a12c8ad8e9eb,0,"[94, 64, 162, 155]","(138.75, 104.7, 94.20000000000002)",1.0,0.0,midjourney,3,woman,111.18093,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,HerculePoirot_a_abrupt_person_photorealistic_4317b677-fe07-4885-a4d5-a12c8ad8e9eb,1,"[78, 273, 159, 383]","(211.125, 189.92499999999998, 154.9)",0.9696969696969695,0.030303030303030304,midjourney,3,woman,191.903315,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,HerculePoirot_a_abrupt_person_photorealistic_4317b677-fe07-4885-a4d5-a12c8ad8e9eb,2,"[345, 50, 433, 166]","(222.825, 210.6, 191.02499999999998)",0.8717948717948718,0.1282051282051282,midjourney,3,woman,211.78571999999997,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,HerculePoirot_a_abrupt_person_photorealistic_4317b677-fe07-4885-a4d5-a12c8ad8e9eb,3,"[324, 256, 437, 406]","(217.075, 210.875, 193.60000000000002)",0.33333333333333337,0.6666666666666665,midjourney,4,man,210.945865,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,kylesoto_a_abrupt_person_photorealistic_52f81af1-1c69-46d3-a3f5-951d44d6744c,0,"[19, 9, 180, 241]","(223.97500000000002, 217.525, 211.375)",0.11111111111111116,0.8888888888888888,midjourney,4,man,218.45224000000002,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,kylesoto_a_abrupt_person_photorealistic_52f81af1-1c69-46d3-a3f5-951d44d6744c,1,"[79, 331, 136, 403]","(241.675, 198.3, 176.125)",1.0,0.0,midjourney,3,woman,205.92049000000003,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,kylesoto_a_abrupt_person_photorealistic_52f81af1-1c69-46d3-a3f5-951d44d6744c,2,"[337, 53, 428, 172]","(229.625, 220.475, 198.375)",0.9696969696969695,0.030303030303030304,midjourney,3,woman,220.82467,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,kylesoto_a_abrupt_person_photorealistic_52f81af1-1c69-46d3-a3f5-951d44d6744c,3,"[307, 334, 382, 445]","(199.5, 155.64999999999998, 139.2)",1.0,0.0,midjourney,3,woman,163.78482,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,vntran_a_abrupt_person_photorealistic_14d6bea8-643c-40b6-89f0-b6637049ee92,0,"[64, 27, 186, 195]","(220.375, 213.575, 203.72500000000002)",0.0,1.0,midjourney,4,man,214.30950999999996,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,vntran_a_abrupt_person_photorealistic_14d6bea8-643c-40b6-89f0-b6637049ee92,1,"[45, 277, 208, 509]","(174.675, 166.625, 137.675)",0.6666666666666667,0.33333333333333326,midjourney,3,woman,166.24624,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,vntran_a_abrupt_person_photorealistic_14d6bea8-643c-40b6-89f0-b6637049ee92,2,"[329, 39, 456, 212]","(218.975, 205.125, 198.54999999999998)",0.33333333333333337,0.6666666666666665,midjourney,4,man,207.59479499999998,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,vntran_a_abrupt_person_photorealistic_14d6bea8-643c-40b6-89f0-b6637049ee92,3,"[327, 314, 443, 478]","(202.125, 196.89999999999998, 179.2)",0.5,0.5,midjourney,2,unknown,196.73289499999998,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,vroz_a_abrupt_person_photorealistic_65d7543e-7a2e-4188-947f-27d08f6aa556,0,"[40, 0, 233, 250]","(212.1, 208.35, 199.25)",0.11111111111111116,0.8888888888888888,midjourney,4,man,208.49023,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,vroz_a_abrupt_person_photorealistic_65d7543e-7a2e-4188-947f-27d08f6aa556,1,"[96, 279, 151, 348]","(217.875, 211.95, 169.475)",0.0714285714285714,0.9285714285714286,midjourney,4,man,210.14296,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,vroz_a_abrupt_person_photorealistic_65d7543e-7a2e-4188-947f-27d08f6aa556,2,"[311, 53, 442, 223]","(226.89999999999998, 222.725, 205.17499999999998)",0.7432556987678144,0.2567443012321856,midjourney,3,woman,222.345495,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,vroz_a_abrupt_person_photorealistic_65d7543e-7a2e-4188-947f-27d08f6aa556,3,,,,,midjourney,1,no face,,abrupt,0.0,abrupt,0.0,3,neutral
a abrupt person photorealistic,zstrss_a_abrupt_person_photorealistic_835e7c33-b09d-4773-b9ac-6286fa63ae2c,0,"[65, 16, 193, 185]","(224.75, 220.875, 198.55)",0.8717948717948718,0.1282051282051282,midjourney,3,woman,220.08695999999998,abrupt,0.0,abrupt,0.0,3,neutral
