word,neg,neu,pos,compound,sentiment_cat,sentiment_val
rash,1.0,0.0,0.0,-0.4019,1,very negative
cruel,1.0,0.0,0.0,-0.5859,1,very negative
guilty,1.0,0.0,0.0,-0.4215,1,very negative
crude,1.0,0.0,0.0,-0.5719,1,very negative
scornful,1.0,0.0,0.0,-0.4215,1,very negative
nagging,1.0,0.0,0.0,-0.4019,1,very negative
hurtful,1.0,0.0,0.0,-0.5267,1,very negative
bullying,1.0,0.0,0.0,-0.5994,1,very negative
prejudiced,1.0,0.0,0.0,-0.4404,1,very negative
hypocritical,1.0,0.0,0.0,-0.4588,1,very negative
fake,1.0,0.0,0.0,-0.4767,1,very negative
unfocused,1.0,0.0,0.0,-0.4019,1,very negative
murderous,1.0,0.0,0.0,-0.6369,1,very negative
lugubrious,1.0,0.0,0.0,-0.4767,1,very negative
sullen,1.0,0.0,0.0,-0.4019,1,very negative
brutal,1.0,0.0,0.0,-0.6249,1,very negative
awful,1.0,0.0,0.0,-0.4588,1,very negative
seditious,1.0,0.0,0.0,-0.4019,1,very negative
nasty,1.0,0.0,0.0,-0.5574,1,very negative
intimidating,1.0,0.0,0.0,-0.4404,1,very negative
reckless,1.0,0.0,0.0,-0.4019,1,very negative
vain,1.0,0.0,0.0,-0.4215,1,very negative
perverse,1.0,0.0,0.0,-0.4215,1,very negative
incompetent,1.0,0.0,0.0,-0.4767,1,very negative
scary,1.0,0.0,0.0,-0.4939,1,very negative
thoughtless,1.0,0.0,0.0,-0.4588,1,very negative
dangerous,1.0,0.0,0.0,-0.4767,1,very negative
damaging,1.0,0.0,0.0,-0.5106,1,very negative
pathetic,1.0,0.0,0.0,-0.5719,1,very negative
stubborn,1.0,0.0,0.0,-0.4019,1,very negative
selfish,1.0,0.0,0.0,-0.4767,1,very negative
arrogant,1.0,0.0,0.0,-0.4939,1,very negative
neglecting,1.0,0.0,0.0,-0.4019,1,very negative
neglectful,1.0,0.0,0.0,-0.4588,1,very negative
neglected,1.0,0.0,0.0,-0.5267,1,very negative
negative,1.0,0.0,0.0,-0.5719,1,very negative
ugly,1.0,0.0,0.0,-0.5106,1,very negative
ashamed,1.0,0.0,0.0,-0.4767,1,very negative
stupid,1.0,0.0,0.0,-0.5267,1,very negative
unfair,1.0,0.0,0.0,-0.4767,1,very negative
insulting,1.0,0.0,0.0,-0.4939,1,very negative
bad,1.0,0.0,0.0,-0.5423,1,very negative
dull,1.0,0.0,0.0,-0.4019,1,very negative
dumb,1.0,0.0,0.0,-0.5106,1,very negative
miserable,1.0,0.0,0.0,-0.4939,1,very negative
terrifying,1.0,0.0,0.0,-0.5719,1,very negative
blind,1.0,0.0,0.0,-0.4019,1,very negative
harsh,1.0,0.0,0.0,-0.4404,1,very negative
joyless,1.0,0.0,0.0,-0.5423,1,very negative
hateful,1.0,0.0,0.0,-0.4939,1,very negative
terrible,1.0,0.0,0.0,-0.4767,1,very negative
unattractive,1.0,0.0,0.0,-0.4404,1,very negative
jealous,1.0,0.0,0.0,-0.4588,1,very negative
shocking,1.0,0.0,0.0,-0.4019,1,very negative
unloving,1.0,0.0,0.0,-0.5106,1,very negative
punishing,1.0,0.0,0.0,-0.5574,1,very negative
fearful,1.0,0.0,0.0,-0.4939,1,very negative
unintelligent,1.0,0.0,0.0,-0.4588,1,very negative
immoral,1.0,0.0,0.0,-0.4588,1,very negative
faultfinding,1.0,0.0,0.0,-0.4767,1,very negative
passionless,1.0,0.0,0.0,-0.4404,1,very negative
heartbroken,1.0,0.0,0.0,-0.6486,1,very negative
compassionless,1.0,0.0,0.0,-0.5574,1,very negative
violent,1.0,0.0,0.0,-0.5994,1,very negative
unhealthy,1.0,0.0,0.0,-0.5267,1,very negative
melancholy,1.0,0.0,0.0,-0.4404,1,very negative
idiotic,1.0,0.0,0.0,-0.5574,1,very negative
irresponsible,1.0,0.0,0.0,-0.4404,1,very negative
helpless,1.0,0.0,0.0,-0.4588,1,very negative
moronic,1.0,0.0,0.0,-0.5719,1,very negative
ungrateful,1.0,0.0,0.0,-0.4588,1,very negative
sinister,1.0,0.0,0.0,-0.5994,1,very negative
harassing,1.0,0.0,0.0,-0.5423,1,very negative
